station,sequence,origin,turbidity_ntu,ph,temperature_c,forecast_h6_ntu,alum_percent,chlorine_percent,global_round,algorithm
austin,1,PUBLISHED_FIELD,0.55,9.29,27.11,0.5459897084751988,19.04171074423942,11.848571428571429,1,RG_AdaFedResidual
tongji,1,PUBLISHED_FIELD,31.94,7.890000000000001,9.47,26.77792067947544,21.94745054728805,10.147210884353743,1,RG_AdaFedResidual
virtual,1,DISCLOSED_DIGITAL_TWIN,0.29,9.42,27.04,0.2743131877191643,20.287873770163504,12.59992380952381,1,RG_AdaFedResidual
austin,2,PUBLISHED_FIELD,0.58,9.29,27.05,0.5527672096813228,19.0827804751683,11.82842857142857,1,RG_AdaFedResidual
tongji,2,PUBLISHED_FIELD,33.480000000000004,7.9,9.57,28.769217823782235,22.36029277626541,10.210068027210886,1,RG_AdaFedResidual
virtual,2,DISCLOSED_DIGITAL_TWIN,0.32,9.39,26.83,0.289807757060679,20.16704508493041,12.52129523809524,1,RG_AdaFedResidual
austin,3,PUBLISHED_FIELD,0.55,9.25,26.95,0.5490408655472017,18.814438016966687,11.791428571428572,1,RG_AdaFedResidual
tongji,3,PUBLISHED_FIELD,34.18,7.81,11.36,29.47160271772176,22.03220445881501,10.238639455782314,1,RG_AdaFedResidual
virtual,3,DISCLOSED_DIGITAL_TWIN,0.27,9.43,27.02,0.2903149485978056,20.34801830142717,12.592319159554949,1,RG_AdaFedResidual
austin,4,PUBLISHED_FIELD,0.53,9.27,27.23,0.5477099504044229,18.92489625368545,11.891330426445904,1,RG_AdaFedResidual
tongji,4,PUBLISHED_FIELD,36.6,7.83,9.78,29.98528544957129,22.689055996711183,10.337414965986396,1,RG_AdaFedResidual
virtual,4,DISCLOSED_DIGITAL_TWIN,0.27,9.37,26.8,0.2780737691207091,19.96650633397929,12.507950038969328,1,RG_AdaFedResidual
austin,5,PUBLISHED_FIELD,0.5,9.26,26.92,0.5458705111480536,18.86552073989812,11.780537307620632,1,RG_AdaFedResidual
tongji,5,PUBLISHED_FIELD,13.85,7.82,9.5,30.101546668508924,21.130985672304803,10.072171972864307,1,RG_AdaFedResidual
virtual,5,DISCLOSED_DIGITAL_TWIN,0.27,9.4,26.8,0.2802832620328559,20.14951389321471,12.508051044359595,1,RG_AdaFedResidual
austin,6,PUBLISHED_FIELD,0.55,9.29,27.08,0.5432509158241149,19.04171074423942,11.837857142857144,1,RG_AdaFedResidual
tongji,6,PUBLISHED_FIELD,30.91,7.86,9.58,30.18558631640395,21.541244564410665,10.105170068027212,1,RG_AdaFedResidual
virtual,6,DISCLOSED_DIGITAL_TWIN,0.3,9.38,27.04,0.2791041914720934,20.069331750010548,12.600380952380954,1,RG_AdaFedResidual
austin,7,PUBLISHED_FIELD,0.5700000000000001,9.29,27.07,0.54732634272809,19.06920476011768,11.835142857142856,1,RG_AdaFedResidual
tongji,7,PUBLISHED_FIELD,35.29,7.9,10.43,29.73350030190493,22.77437334679191,10.283945578231291,1,RG_AdaFedResidual
virtual,7,DISCLOSED_DIGITAL_TWIN,0.31,9.4,26.98,0.30301879333174,20.20762197880885,12.577980952380956,1,RG_AdaFedResidual
austin,8,PUBLISHED_FIELD,0.54,9.29,26.78,0.5489631164977604,19.040272537159257,11.730669847849905,1,RG_AdaFedResidual
tongji,8,PUBLISHED_FIELD,30.83,7.86,10.12,29.803804792176425,21.52223961135533,10.101904761904764,1,RG_AdaFedResidual
virtual,8,DISCLOSED_DIGITAL_TWIN,0.27,9.4,27.01,0.305699622208583,20.19938401100564,12.589212935110488,1,RG_AdaFedResidual
austin,9,PUBLISHED_FIELD,0.51,9.29,26.98,0.5472285984148599,19.037863797777003,11.80202408278921,1,RG_AdaFedResidual
tongji,9,PUBLISHED_FIELD,32.160000000000004,7.87,9.93,30.241864140481663,21.890333077335026,10.156190476190478,1,RG_AdaFedResidual
virtual,9,DISCLOSED_DIGITAL_TWIN,0.26,9.38,27.08,0.2732770938997089,20.016340831706938,12.614397429054463,1,RG_AdaFedResidual
austin,10,PUBLISHED_FIELD,0.58,9.27,26.95,0.5478401272153182,18.969144111531925,11.792714285714286,1,RG_AdaFedResidual
tongji,10,PUBLISHED_FIELD,32.62,7.85,10.0,30.53898978368912,21.88908470406979,10.17496598639456,1,RG_AdaFedResidual
virtual,10,DISCLOSED_DIGITAL_TWIN,0.32,9.41,27.07,0.2763741219036558,20.28609270397804,12.61272380952381,1,RG_AdaFedResidual
austin,11,PUBLISHED_FIELD,0.55,9.28,27.03,0.5503359079481073,18.985358207367646,11.82001439605492,1,RG_AdaFedResidual
tongji,11,PUBLISHED_FIELD,31.69,7.69,10.29,29.453934379313434,20.80173076648763,10.13700680272109,1,RG_AdaFedResidual
virtual,11,DISCLOSED_DIGITAL_TWIN,0.32,9.41,27.03,0.3257852938930311,20.296924477194136,12.59775018486368,1,RG_AdaFedResidual
austin,12,PUBLISHED_FIELD,0.54,9.28,27.04,0.5502497283956108,18.98523875571474,11.823582131216952,1,RG_AdaFedResidual
tongji,12,PUBLISHED_FIELD,37.63,7.81,9.3,30.19166499515009,22.809853346383854,10.379455782312926,1,RG_AdaFedResidual
virtual,12,DISCLOSED_DIGITAL_TWIN,0.37,9.42,26.94,0.3185340319403758,20.436363101421406,12.565485714285716,1,RG_AdaFedResidual
